OMIE - Mercado de electricidad;;;;;;
Fecha Emisión :05/03/2026 - 14:47;;;;;;LISTADO DE UNIDADES OFERTANTES VIGENTES
;;;;;;
AHOEC01;AHOEC01;AHORRA ENERGIA ASESORES SL;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
AHORC01;AHORA PENINSULA;AHORA LUZ ENERGÍA SL;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
AHTC01;COMPRA COMER;COMERCIALIZADORA ELECTRICA DE TENERIFE, S.L.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
AIREC01;AIREC01;AIRE LIMPIO S.L.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Compras Comercialización
AJENC01;UNIDAD OFERTANTE A2J ENERGÍA;A2J ENERGÍA, S.L.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
ALAHC01;U.O ALAHURIN;HIDROCARBUROS ALHAURÍN SL;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
ALBCC01;ALBCO_COMPRAS_UP;COMERCIALIZADORA ELECTRICA DE ALBATARREC SLU;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
ALDDC01;18W000000000OLLT;ACCIONA COMERCIALIZADORA B2C, S.L. UNIPERSONAL;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Compras Comercialización
ALDRC01;COMERCIALIZADORA ALDRO ENERGIA;ENI PLENITUDE IBERIA, S.L.U.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
ALDRC02;COMERCIALIZADORA ELECTRICA PT;ENI PLENITUDE IBERIA, S.L.U.-SUCURSAL EM PORTUGAL;100;COMERCIALIZADOR;ZONA PORTUGUESA;Comercializador
ALFAC02;ALFA ENERGIA;ALFA ENERGIA, LDA;100;COMERCIALIZADOR;ZONA PORTUGUESA;Comercializador
ALGICA1;ALGICA1;SUMINISTROS ESPECIALES ALGINETENSES, S.C.V.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
ALIOC01;COMPRA COMERCIALIZADORA;ALIO ENERGIA S.L.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
ALPXC01;ALPEX IBERICA DE ENERGIA,S.L;ALPEX IBERICA DE ENERGIA,S.L;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
ALUEC01;ALUZ PENINSULAR;ALUZ ENERGÍA ELÉCTRICA SL;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Compras Comercialización
ALUZC01;ALUZC01;AHORRELUZ SERVICIOS ONLINE SL;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
AMAZC01;AMAZON COMPRA;COMERCIALIZADORA DE ENERGIAS RENOVABLES Y DE SERVICIOS DE LUZ AMA Y GAS ZON SL;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
AMEC01;AG. MERCADO ELÉCTRICO COM(ESP);FACTOR ENERGIA ESPAÑA SAU;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
AMELC01;UNIDAD DE COMERCIALICION;ARCELORMITTAL ENERGY S.C.A;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
AMIC01;COMPRA COMERCIALIZADORA AMI;AMI ELECTRUM S.L.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
ANGLC01;ANGLER ENERGIA, S.L.;ANGLER ENERGIA, S.L.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
ANTEC01;ANTEA ENERGÍA COMERCIALIZADORA;ANTEA ENERGÍA COMERCIALIZADORA SL;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
ANTUC01;ANTUKO COM;ANTUKO ENERGIA, S.L;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
APOLC01;UP PENINSULAR;APOLO BUSINESS SL;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Compras Comercialización
ARACC01;ARACÁN ENERGÍA;ARACÁN ENERGÍA S.L.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Compras Comercialización
AREPC02;AUDAX RENOV. SUC. EM PORTUGAL;AUDAX RENOVABLES S.A.-SUCURSAL EM PORTUGAL;100;COMERCIALIZADOR;ZONA PORTUGUESA;Comercializador
ARGUC01;UPR ARGUS;COLABORA ENERGIA-ARGUS, S.L.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Compras Comercialización
ASIEC01;COMERCIALIZ;ASISTENCIA ENERGÉTICA S.L.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
ASSEC01;18X000000000P5GW;ASSENN ENERGY, S.L.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
ASTRC01;ASTRAL;ASTRALCAD ENERGIA SL;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
ATEEC01;ATENCO PENINSULA;ATENCO ENERGIA;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
ATLSC01;ATLAS ENERGIA COMERCIAL SL;ATLAS ENERGIA COMERCIAL SL;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
ATLSR01;ATLSR01;ATLAS ENERGIA COMERCIAL SL;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Compra Comercializador Balance
ATPC01;COMPRA ATP;ATP ENERGIA SL;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
ATRIC01;ATRIA - UNIDAD DE OFERTA 01;ATRIA INVERSIONES ENERGIA S.L.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Comercializador
AUDAC01;AUDAX COMPRA;AUDAX RENOVABLES S.A.;100;COMERCIALIZADOR;ZONA ESPAÑOLA;Compras Comercialización
AXPOC02;AXPOP COMERCIALIZADOR PT;AXPO ENERGIA PORTUGAL;100;COMERCIALIZADOR;ZONA PORTUGUESA;Comercializador
