CODIGO;TIPO_UNIDAD;TECNOLOGIA;regime;categoria;DESCRIPCION;AGENTE_PROPIETARIO;ZONA_FRONTERA
MARFRAE;CONTRATO INTERNACIONAL;nan;CONTRATO_INT;CONTRATO_INT;MARI FRANCIA EXPORTACION;RED ELECTRICA DE ESPAÑA, S.A.U.;FRONTERA FRANCIA
MARFRAI;CONTRATO INTERNACIONAL;nan;CONTRATO_INT;CONTRATO_INT;MARI FRANCIA IMPORTACION;RED ELECTRICA DE ESPAÑA, S.A.U.;FRONTERA FRANCIA
MARPORE;CONTRATO INTERNACIONAL;nan;CONTRATO_INT;CONTRATO_INT;MARI PORTUGAL EXPORTACION;RED ELECTRICA DE ESPAÑA, S.A.U.;ZONA ESPAÑOLA
MARPORI;CONTRATO INTERNACIONAL;nan;CONTRATO_INT;CONTRATO_INT;MARI PORTUGAL IMPORTACION;RED ELECTRICA DE ESPAÑA, S.A.U.;ZONA ESPAÑOLA
EE21CEB;DISTRIBUIDOR;Comercializador ultimo recurso;COMERCIALIZADOR;COMERC_ULT_REC_ES;EEXXI INTERCONEXION BALEARES;ENERGÍA XXI COMERCIALIZADORA DE REFERENCIA, S.L.;ZONA ESPAÑOLA
GNSUCEB;DISTRIBUIDOR;Comercializador ultimo recurso;COMERCIALIZADOR;COMERC_ULT_REC_ES;GNSUCEB;COMERCIALIZADORA REGULADA GAS  POWER, S.A;ZONA ESPAÑOLA
HCURCEB;DISTRIBUIDOR;Comercializador ultimo recurso;COMERCIALIZADOR;COMERC_ULT_REC_ES;HCCUR COMPRA ENLACE BALEARES;BASER COMERCIALIZADORA DE REFERENCIA SA;ZONA ESPAÑOLA
IBCUCEB;DISTRIBUIDOR;Comercializador ultimo recurso;COMERCIALIZADOR;COMERC_ULT_REC_ES;CUR ENLACE BALEARES;CURENERGÍA COMERCIALIZADOR DE ÚLTIMO RECURSO, SAU;ZONA ESPAÑOLA
AAXRCTI;GENERACION;RE Tarifa CUR (uof);PRE;RE_TARIFA_CUR_PT;AXPO IBERIA R. CENTRO INTERIOR;AXPO IBERIA, S.L.;ZONA PORTUGUESA
AAXRGDL;GENERACION;RE Tarifa CUR (uof);PRE;RE_TARIFA_CUR_PT;AREA DE REDE DA GRANDE LISBOA;AXPO IBERIA, S.L.;ZONA PORTUGUESA
AAXRSUL;GENERACION;RE Tarifa CUR (uof);PRE;EOLICA_PT;AXPO IBERIA R.SUL;AXPO IBERIA, S.L.;ZONA PORTUGUESA
ABA1;GENERACION;Hidráulica Generación;PRO;HIDRICA_PRO_ES;ABARAN;WIND TO MARKET (ACT.: COMERCIALIZACIÓN RE);ZONA ESPAÑOLA
ABA2;GENERACION;Hidráulica Generación;PRO;HIDRICA_PRO_ES;ABARAN 2;WIND TO MARKET (ACT.: COMERCIALIZACIÓN RE);ZONA ESPAÑOLA
ABO1;GENERACION;Hulla Antracita;PRO;CARVAO_ES;C.T. ABOÑO 1;ABOÑO GENERACIONES ELECTRICAS SLU;ZONA ESPAÑOLA
ABO2G;GENERACION;Gas;PRO;GAS_ES;ABOÑO 2 GAS;ABOÑO GENERACIONES ELECTRICAS SLU;ZONA ESPAÑOLA
ACAVADO;GENERACION;Hidráulica Generación;PRO;HIDRICA_PRO_PT;CAVADO;EDP GEM PORTUGAL S.A.;ZONA PORTUGUESA
ACCGV02;GENERACION;RE Tarifa CUR (uof);PRE;SOLAR_FOT_PT;UNIDAD DE VENTA;ACCIONA GREEN, SUCURSAL PT;ZONA PORTUGUESA
ACC1EBR;GENERACION;Hidráulica Generación;PRO;HIDRICA_PRO_ES;AC.GREEN EN. DEV. VENTA RO 1;ENDESA GENERACIÓN, S.A.;ZONA ESPAÑOLA
ACC2EBR;GENERACION;Hidráulica Generación;PRO;HIDRICA_PRO_ES;AC. GREEN EN. DEV. VENTA RO2;ENDESA GENERACIÓN, S.A.;ZONA ESPAÑOLA
ACE3;GENERACION;Ciclo Combinado;PRO;CICLO_COMBINADO_ES;C.C. ACECA 3;IBERDROLA ENERGÍA ESPAÑA S..A.;ZONA ESPAÑOLA
ACE4;GENERACION;Ciclo Combinado;PRO;CICLO_COMBINADO_ES;C.C. ACECA 4;GAS NATURAL COMERCIALIZADORA;ZONA ESPAÑOLA
ADERE01;GENERACION;RE Mercado Solar Fotovoltáica;PRE;SOLAR_FOT_ES;ADEINNOVA VENTA;ADEINNOVA ENERGIA;ZONA ESPAÑOLA
ADOURO;GENERACION;Hidráulica Generación;PRO;HIDRICA_PRO_PT;HIDRO DOURO TOTAL;EDP GEM PORTUGAL S.A.;ZONA PORTUGUESA
ADREV02;GENERACION;RE Tarifa CUR (uof);PRE;RE_TARIFA_CUR_PT;CENTRAL FOTOVOLTAICA OURIKA;AUDAX RENOVABLES S.A.;ZONA PORTUGUESA
ADXRE01;GENERACION;RE Mercado Solar Fotovoltáica;PRE;SOLAR_FOT_ES;PREAL1;AUDAX RENOVABLES S.A.;ZONA ESPAÑOLA
ADXRE02;GENERACION;RE Mercado Solar Fotovoltáica;PRE;SOLAR_FOT_ES;ALARCOS;AUDAX RENOVABLES S.A.;ZONA ESPAÑOLA
ADXRE03;GENERACION;RE Mercado Solar Fotovoltáica;PRE;SOLAR_FOT_ES;CANTILLANA44;AUDAX RENOVABLES S.A.;ZONA ESPAÑOLA
ADXRE04;GENERACION;RE Mercado Solar Fotovoltáica;PRE;SOLAR_FOT_ES;MIRANDA;AUDAX RENOVABLES S.A.;ZONA ESPAÑOLA
ADXRE05;GENERACION;RE Mercado Solar Fotovoltáica;PRE;SOLAR_FOT_ES;HORN16;AUDAX RENOVABLES S.A.;ZONA ESPAÑOLA
ADXRE06;GENERACION;RE Mercado Solar Fotovoltáica;PRE;SOLAR_FOT_ES;OLIVE23;AUDAX RENOVABLES S.A.;ZONA ESPAÑOLA
ADXRE07;GENERACION;RE Mercado Solar Fotovoltáica;PRE;SOLAR_FOT_ES;OLIVE24;AUDAX RENOVABLES S.A.;ZONA ESPAÑOLA
ADXRE08;GENERACION;RE Mercado Solar Fotovoltáica;PRE;SOLAR_FOT_ES;OLVEN22;AUDAX RENOVABLES S.A.;ZONA ESPAÑOLA
ADXRE09;GENERACION;RE Mercado Solar Fotovoltáica;PRE;SOLAR_FOT_ES;ZARA1;AUDAX RENOVABLES S.A.;ZONA ESPAÑOLA
ADXRE10;GENERACION;RE Mercado Solar Fotovoltáica;PRE;SOLAR_FOT_ES;PUERTOLLANO;AUDAX RENOVABLES S.A.;ZONA ESPAÑOLA
ADXRE11;GENERACION;RE Mercado Solar Fotovoltáica;PRE;SOLAR_FOT_ES;HORNACHOS98;AUDAX RENOVABLES S.A.;ZONA ESPAÑOLA
